기업명,종목코드,상폐일,폐지사유
화진,134780,2020-07-02,감사의견거절(감사범위제한)
하나니켈2호,099350,2020-07-01,존속기간 만료
하나니켈1호,099340,2020-07-01,존속기간 만료
신한,005450,2020-06-30,감사의견 의견거절 2년 계속
에스에프씨,112240,2020-06-30,감사의견 거절(감사범위 제한)
젠큐릭스,229000,2020-06-25,코스닥시장 이전상장
동북아12호선박투자,083370,2020-06-23,존속기간 만료
IBKS제7호스팩,276920,2020-06-18,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
LPK로보틱스,183350,2020-06-17,"외부감사인의 감사의견 거절(감사범위 제한), 감사의견 한정(감사범위 제한)"
카이노스메드,220250,2020-06-08,피흡수합병
웅진에너지,103130,2020-06-01,감사의견 의견거절 2년 계속
이엘케이,094190,2020-05-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
차이나그레이트,900040,2020-05-22,"법정제출기한까지 사업보고서를 제출하지 아니한 후, 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니함"
피앤텔,054340,2020-05-21,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
에스마크,030270,2020-05-21,감사의견거절(감사범위제한 및 계속기업 존속 불확실)
리드,197210,2020-05-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
케미메디,205290,2020-05-13,외부감사인의 감사의견 의견거절(감사범위 제한)
씨티네트웍스,189540,2020-05-12,감사의견 거절(계속기업 존속능력에 대한 불확실성)
동북아13호선박투자,083380,2020-05-04,존속기간 만료
하이골드8호,159650,2020-04-27,감사의견 부적정
한화갤러리아타임월드,027390,2020-04-16,지주회사(최대주주등)의 완전자회사화 등
파인넥스,123260,2020-04-10,"제28조제1항제9호에 따라 관리종목 지정 후 공시규정 제19조제1항에 따른 사업보고서 법정제출기한 내 미제출, 최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출"
드림티엔터테인먼트,220110,2020-04-10,사업보고서 법정제출기한('20.3.30限)내 미제출
두산건설,011160,2020-03-24,지주회사(최대주주등)의 완전자회사화 등
한국제5호스팩,271740,2020-03-03,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
대원모방,311840,2020-02-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2020.2.13 限)
유쎌,252370,2020-02-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2020.2.13 限)
오렌지라이프,079440,2020-02-14,지주회사(최대주주등)의 완전자회사화 등
썬텍,122800,2020-02-12,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
위세아이텍,065370,2020-02-10,코스닥시장 이전상장
한컴지엠디,077280,2020-01-16,피흡수합병
한화수성스팩,265920,2020-01-15,상장예비심사 청구서 미제출로 관리종목 지정후 1개월 이내 동사유를 미해소
미래에셋대우스팩1호,265480,2020-01-03,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
소프트캠프,210610,2019-12-30,피흡수합병
아이엘사이언스,122050,2019-12-27,피흡수합병
제이테크놀로지,035480,2019-12-12,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
한화에이스스팩3호,264290,2019-12-06,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
리메드,302550,2019-12-06,코스닥시장 이전상장
인프라웨어테크놀러지,247300,2019-12-06,피흡수합병
한국비엔씨,226610,2019-12-03,피흡수합병
데코앤이,017680,2019-11-20,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지
자비스,230400,2019-11-15,피흡수합병
미디어젠,279600,2019-11-05,코스닥시장 이전상장
콘텐트리중앙,036420,2019-10-18,유가증권시장 상장
대신밸런스제4호스팩,262830,2019-10-10,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
세종머티리얼즈,135270,2019-10-02,파산선고에 따른 해산사유 발생
알로이스,271400,2019-10-01,피흡수합병
신한제3호스팩,257730,2019-10-01,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
쿠첸,225650,2019-09-16,타법인의 완전자회사로 편입
SK3호스팩,232330,2019-08-30,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
그린플러스,186230,2019-08-07,코스닥시장 이전상장
현대정보기술,026180,2019-07-17,피흡수합병
주노콜렉션,221670,2019-07-16,지정자문인 선임계약 해지 후 30일 이내 미체결(2019.7.2 限)
포인트엔지니어링,176560,2019-07-16,피흡수합병
엔케이맥스,262760,2019-07-04,피흡수합병
사조해표,079660,2019-06-26,해산 사유 발생
줌인터넷,229480,2019-06-10,피흡수합병
포스코퓨처엠,003670,2019-05-29,유가증권시장 상장
수젠텍,253840,2019-05-28,코스닥시장 이전상장
영현무역,242850,2019-05-22,지정자문인 선임계약 해지 후 30일 이내 미체결(2019.5.8 限)
알보젠코리아,002250,2019-05-20,지주회사(최대주주등)의 완전자회사화 등
트러스제7호,140890,2019-05-07,해산 사유 발생
에프티이앤이,065160,2019-05-03,감사의견 거절(감사범위 제한)
지노믹트리,228760,2019-03-27,코스닥시장 이전상장
더블유게임즈,192080,2019-03-12,유가증권시장 상장
제이에스피브이,250300,2019-03-04,지정자문인 선임계약 해지 후 30일이내 미체결(2019.2.1 限)
